name,name_zh,name_en,type,programs,programs_en,country,country_en,listed_on,remarks
洛克希德·马丁导弹与火控公司,洛克希德·马丁导弹与火控公司,Lockheed Martin Missiles and Fire Control,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
洛克希德·马丁航空公司,洛克希德·马丁航空公司,Lockheed Martin Aeronautics,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
标枪合资公司,标枪合资公司,Javelin Joint Venture,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
雷神导弹系统公司,雷神导弹系统公司,Raytheon Missile Systems,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
通用动力军械与战术系统公司,通用动力军械与战术系统公司,General Dynamics Ordnance and Tactical Systems,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
通用动力信息技术公司,通用动力信息技术公司,General Dynamics Information Technology,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
通用动力陆地系统公司,通用动力陆地系统公司,General Dynamics Land Systems,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
BAE系统公司,BAE系统公司,"BAE Systems, Inc.",entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
联合技术系统公司,联合技术系统公司,United Technologies Systems,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
L3哈里斯海事服务公司,L3哈里斯海事服务公司,L3Harris Maritime Services,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-01-02,发布部门：商务部｜公告：2025年第1号公告
萨罗尼克科技公司,萨罗尼克科技公司,"Saronic Technologies, Inc.",entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-09-25,发布部门：商务部｜公告：2025年第9号公告
爱尔康公司,爱尔康公司,Aerkomm Inc.,entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-09-25,发布部门：商务部｜公告：2025年第9号公告
国际海洋工程公司,国际海洋工程公司,"Oceaneering International, Inc.",entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-09-25,发布部门：商务部｜公告：2025年第9号公告
反无人机技术公司（Axon旗下）,反无人机技术公司（Axon旗下）,"Dedrone by Axon Enterprise, Inc.",entity,不可靠实体清单,Unreliable Entity List,美国,United States,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights公司,TechInsights公司,TechInsights Inc.,entity,不可靠实体清单,Unreliable Entity List,加拿大,Canada,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights加拿大公司,TechInsights加拿大公司,TechInsights Canada Inc.,entity,不可靠实体清单,Unreliable Entity List,加拿大,Canada,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights英国公司,TechInsights英国公司,TechInsights UK Ltd.,entity,不可靠实体清单,Unreliable Entity List,英国,United Kingdom,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights德国公司,TechInsights德国公司,TechInsights Germany GmbH,entity,不可靠实体清单,Unreliable Entity List,德国,Germany,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights日本公司,TechInsights日本公司,TechInsights Japan K.K.,entity,不可靠实体清单,Unreliable Entity List,日本,Japan,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights韩国公司,TechInsights韩国公司,"TechInsights Korea Co., Ltd.",entity,不可靠实体清单,Unreliable Entity List,韩国,South Korea,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
TechInsights印度公司,TechInsights印度公司,TechInsights India Pvt. Ltd.,entity,不可靠实体清单,Unreliable Entity List,印度,India,2025-10-09,发布部门：商务部｜公告：2025年第10号公告
